0,zero
9 6 9,nine hundred sixty nine
9 7 0,nine hundred seventy 
9 7 1,nine hundred seventy one
9 7 2,nine hundred seventy two
9 7 3,nine hundred seventy three
9 7 4,nine hundred seventy four
9 7 5,nine hundred seventy five
9 7 6,nine hundred seventy six
9 7 7,nine hundred seventy seven
9 7 8,nine hundred seventy eight
9 7 9,nine hundred seventy nine
9 8 0,nine hundred eighty 
9 8 1,nine hundred eighty one
9 8 2,nine hundred eighty two
9 8 3,nine hundred eighty three
9 8 4,nine hundred eighty four
9 8 5,nine hundred eighty five
9 8 6,nine hundred eighty six
9 8 7,nine hundred eighty seven
9 8 8,nine hundred eighty eight
9 8 9,nine hundred eighty nine
9 9 0,nine hundred ninety 
9 9 1,nine hundred ninety one
9 9 2,nine hundred ninety two
9 9 3,nine hundred ninety three
9 9 4,nine hundred ninety four
9 9 5,nine hundred ninety five
9 9 6,nine hundred ninety six
9 9 7,nine hundred ninety seven
9 9 8,nine hundred ninety eight
